Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Tommy,Andersen,Arnesenfaret 14,Mariannestrand,7382,Norge,NO,19460310-2167,+47,410 12 391,1946-03-10,True
Anna,Göransson,Furuvägen 2,Malmö,81918,Sverige,SE,19460228-9625,+46,08-128 838 15,1946-02-28,True
Helena,Pettersson,Kvarngränd 7,Linköping,25650,Sverige,SE,19891012-5385,+46,034-039 81 75,1989-10-12,True
Camilla,Nyberg,Skogstorget 4,Luleå,55547,Sverige,SE,19480409-3016,+46,0692-356 64,1948-04-09,True
Hilde,Kristoffersen,Knudsengrenda 81C,Eide,1930,Norge,NO,19520206-8957,+47,40106231,1952-02-06,True
Nils,Ek,Stationsgatan 89,Gävle,20220,Sverige,SE,19960204-3859,+46,+46 (0)38 90 88 99,1996-02-04,True
Erland,Persson,Idrottsstigen 233,Piteå,46512,Sverige,SE,19790105-5996,+46,011-06 10 41,1979-01-05,True
Margit,Blomqvist,Genstigen 670,Örebro,68095,Sverige,SE,19440904-1638,+46,+46 (0)8 102 477 51,1944-09-04,True
Karin,Henriksson,Ekgränd 3,Mölndal,64007,Sverige,SE,19710930-3700,+46,08-924 548 82,1971-09-30,True
Kendra,Park,Cheyenne Ways 655,East Debbie,83162,Danmark,DK,19740717-5714,+45,+1-819-542-5672,1974-07-17,True
Kerstin,Fredriksson,Kyrkstigen 2,Uddevalla,77396,Sverige,SE,19770829-8919,+46,0491-75 80 75,1977-08-29,True
Laila,Andresen,Henriksengrenda 1,Rønning,5509,Norge,NO,19711120-8575,+47,478 27 736,1971-11-20,True
Leslie,Fitzgerald,Reed Isle 430,Perezland,52950,Danmark,DK,19410917-3438,+45,7546335948,1941-09-17,True
Kristine,Rønning,Amundsenfaret 105,Eliassen,1482,Norge,NO,19831021-1655,+47,974 81 118,1983-10-21,True
Micheal,Cannon,Brown Pass 4352,Andersonchester,54883,Danmark,DK,19520701-0192,+45,(608)427-8533x73472,1952-07-01,True
Anders,Axelsson,Parkstigen 03,Göteborg,80093,Sverige,SE,19520207-5613,+46,+46 (0)8 514 129 93,1952-02-07,True
Eric,Perez,Holmes Summit 394,Stephensborough,74183,Danmark,DK,19500730-2684,+45,001-260-940-7043x79813,1950-07-30,True
Inger,Olofsson,Ringtorget 45,Lund,16285,Sverige,SE,19580518-6168,+46,0718-73 77 95,1958-05-18,True
Harriet,Ljungberg,Bäckgränd 75,Växjö,42093,Sverige,SE,19851125-5279,+46,+46 (0)18 60 61 98,1985-11-25,True
Deborah,Barnes,Sanders Springs 75337,Danielletown,79194,Danmark,DK,19421104-7840,+45,+1-326-466-8112,1942-11-04,True
Joseph,Edwards,William Field 236,Hallborough,13088,Danmark,DK,19910902-5628,+45,730.718.3059x091,1991-09-02,True
Mitchell,Calhoun,Ashley Motorway 22429,East Johnburgh,42133,Danmark,DK,19860919-7819,+45,001-280-963-9091,1986-09-19,True
Irene,Knutsson,Björkgatan 02,Borås,83194,Sverige,SE,19781016-3440,+46,0471-020 35,1978-10-16,True
Stefan,Larsson,Storvägen 30,Östersund,83497,Sverige,SE,19750516-1562,+46,+46 (0)096 357 38,1975-05-16,False
Emanuel,Hansson,Kvarngatan 3,Trollhättan,25617,Sverige,SE,19400503-6105,+46,+46 (0)500 944 96,1940-05-03,True
Jonas,Johansen,Hagenstranda 947,Geirvik,2186,Norge,NO,19700113-7658,+47,432 37 246,1970-01-13,True
Göran,Öhman,Ringgränd 874,Norrköping,37904,Sverige,SE,19510715-0554,+46,+46 (0)8 590 638 83,1951-07-15,True
Arne,Molin,Gengatan 823,Trelleborg,48919,Sverige,SE,19750615-3229,+46,08-685 731 82,1975-06-15,True
Nils,Larsson,Idrottsvägen 867,Norrköping,74531,Sverige,SE,19820105-6100,+46,0620-75 15 77,1982-01-05,True
Yvonne,Oskarsson,Ängsstigen 25,Lidköping,35092,Sverige,SE,19460322-5737,+46,093-01 78 65,1946-03-22,True
Ida,Helland,Jacobsenkollen 25,Ritanes,9786,Norge,NO,19930919-9430,+47,55 76 49 48,1993-09-19,True
Åke,Johansson,Skolvägen 8,Mölndal,15087,Sverige,SE,19490113-0254,+46,08-569 70 83,1949-01-13,True
Gustaf,Olsson,Järnvägstorget 512,Gävle,37315,Sverige,SE,19581112-2808,+46,08-428 27 67,1958-11-12,True
Åsa,Lundqvist,Storvägen 9,Trelleborg,69895,Sverige,SE,19760103-1874,+46,+46 (0)015 321 67,1976-01-03,True
Jonas,Magnusson,Villastigen 29,Kristianstad,53166,Sverige,SE,19580616-5741,+46,022-30 03 56,1958-06-16,True
Maria,Nygren,Parkgatan 32,Piteå,97596,Sverige,SE,19700625-4014,+46,08-596 13 05,1970-06-25,True
Lilja,Muhonen,Urkurinkuja 28,Vieremä,39433,Finland,FI,19520830-3189,+358,(+358) 561488477,1952-08-30,True
Karen,Knapp,Roy Circles 905,Lake Matthewhaven,15420,Danmark,DK,19880204-2192,+45,(502)660-5074,1988-02-04,True
Charlotte,Persson,Nygränd 531,Karlstad,67678,Sverige,SE,19460919-1121,+46,08-281 205 44,1946-09-19,True
Juho,Karjalainen,Bertel Jungin kuja 12,Eura,69966,Finland,FI,19850624-372W,+358,0621172648,1985-06-24,True
Stacy,Rogers,Steven Garden 12080,Castilloview,96341,Danmark,DK,19591004-8112,+45,(401)660-3908x1719,1959-10-04,True
Janne,Eskelinen,Disanpolku 997,Rantasalmi,09792,Finland,FI,19971206-818B,+358,+358 878566778,1997-12-06,True
Pirjo,Ojanen,Kukkaniitynkatu 508,Tampere,66377,Finland,FI,19750621-1637,+358,+358609653537,1975-06-21,True
Roar,Sørensen,Engenstubben 6,Madsen,3733,Norge,NO,19820126-4615,+47,66 51 27 99,1982-01-26,True
Eva,Hedlund,Skogsgatan 82,Sandviken,68899,Sverige,SE,19771220-5918,+46,0744-55 12 96,1977-12-20,True
Rolf,Jensen,Björktorget 3,Alingsås,22356,Sverige,SE,19481210-2123,+46,+46 (0)38 39 58 54,1948-12-10,True
Linnéa,Karlsson,Åkervägen 595,Gävle,89813,Sverige,SE,19720307-3185,+46,+46 (0)53 94 84 54,1972-03-07,True
Jeffery,Stokes,Katherine Spur 576,Jessicaview,38753,Danmark,DK,19700109-6009,+45,853-943-5456,1970-01-09,True
Randi,Jensen,Jørgensenekra 76A,Karinstad,0987,Norge,NO,19590518-2055,+47,74643777,1959-05-18,True
Jennifer,Love,Williams Grove 356,Clarkside,40275,Danmark,DK,19481127-6215,+45,491-658-5999,1948-11-27,True
Daniel,Lee,Bobby Dam 585,Lake Christopher,70811,Danmark,DK,19600522-2065,+45,(991)733-8487x6701,1960-05-22,True
Alexandra,Eronen,Nils Westermarckin polku 13,Kiuruvesi,70914,Finland,FI,19961224-097N,+358,0005537881,1996-12-24,True
Daniel,Sæther,Sørensenstykket 8C,Engen,5589,Norge,NO,19400707-3100,+47,48748952,1940-07-07,True
Petter,Christensen,Knutsenmarka 1,Ali,9425,Norge,NO,19581214-5110,+47,49618450,1958-12-14,True
Petri,Mäkinen,Porepolku 2,Hartola,56444,Finland,FI,19430527-480X,+358,+358538981927,1943-05-27,True
Erik,Hedlund,Stationsvägen 557,Karlstad,89745,Sverige,SE,19430224-3163,+46,08-85 56 11,1943-02-24,True
Erik,Berg,Aspvägen 22,Trollhättan,14254,Sverige,SE,19991229-5752,+46,+46 (0)22 06 32 97,1999-12-29,True
David,Williams,Fox Court 633,Contrerasstad,47315,Danmark,DK,19790821-5096,+45,388-613-6062x759,1979-08-21,True
Christina,Karlsson,Skoltorget 8,Piteå,74445,Sverige,SE,19600803-4468,+46,08-107 977 60,1960-08-03,True
Gert,Nilsson,Aspvägen 672,Luleå,82383,Sverige,SE,19601028-1649,+46,08-860 02 42,1960-10-28,True
Inger,Jakobsen,Gundersenbakken 1,Gretestad,1840,Norge,NO,19940821-4620,+47,+47 60 46 26 10,1994-08-21,True
Maria,Andersson,Parkvägen 11,Luleå,69256,Sverige,SE,19450427-8111,+46,0132-078 30,1945-04-27,True
Birgit,Johansson,Nystigen 518,Södertälje,81495,Sverige,SE,19871006-2795,+46,074-10 08 26,1987-10-06,True
Sixten,Nyström,Industrivägen 16,Karlskrona,40570,Sverige,SE,19970528-6769,+46,0847-523 05,1997-05-28,True
Lennart,Berglund,Skogstorget 39,Sundsvall,94828,Sverige,SE,19750709-5225,+46,0410-36 90 13,1975-07-09,True
Rachel,Wilson,Taylor Groves 413,Lake Tony,77365,Danmark,DK,19500123-3525,+45,001-894-729-2445x761,1950-01-23,True
Irene,Persson,Bäckvägen 17,Växjö,60756,Sverige,SE,19491106-0152,+46,003-46 96 32,1949-11-06,True
Sven,Haglund,Industrivägen 472,Sandviken,54991,Sverige,SE,19680430-5745,+46,+46 (0)8 392 137 05,1968-04-30,True
Aila,Sirén,Fallkullankatu 7,Kontiolahti,08511,Finland,FI,19900119-689M,+358,0524839043,1990-01-19,True
Angela,Rhodes,Parker Haven 256,Nicolefort,43405,Danmark,DK,19720818-0425,+45,8806067740,1972-08-18,True
Bror,Sjöberg,Idrottsvägen 779,Linköping,48641,Sverige,SE,19770915-6546,+46,08-155 756 76,1977-09-15,True
Eivind,Lien,Isaksenåsen 021,Hauge,3327,Norge,NO,19750714-0889,+47,907 99 382,1975-07-14,True
Justin,Hicks,Cory Track 066,New Juliamouth,81402,Danmark,DK,19830819-9892,+45,529.750.1983,1983-08-19,True
Emma,Johnsson,Järnvägsvägen 595,Östersund,85801,Sverige,SE,19760228-8845,46,0240-87 44 54,1976-02-28,True
Camilla,Berggren,Backgatan 3,Uddevalla,97540,Sverige,SE,19451227-4654,+46,0979-712 96,1945-12-27,True
Barbro,Falk,Genvägen 59,Mölndal,17151,Sverige,SE,19760821-5725,+46,0523-545 31,1976-08-21,True
Marianne,Hedlund,Bäckstigen 733,Karlskoga,21859,Danmark,SE,19760411-7252,+46,010-870 71 96,1976-04-11,True
Leif,Aas,Sivertsenplassen 9,Bjørgberg,5481,Norge,NO,19410729-4864,+47,78967513,1941-07-29,True
Stig,Olsson,Furutorget 09,Lidköping,43753,Sverige,SE,19471222-3580,+46,+46 (0)42 26 42 45,1947-12-22,True
Karolina,Johansson,Strandgatan 2,Göteborg,73194,Sverige,SE,19960325-1995,+46,0299-78 97 82,1996-03-25,True
Steinar,Tangen,Abrahamsensvingen 9,Mortenfjell,9660,Norge,NO,19740723-1713,+47,450 08 490,1974-07-23,True
Karin,Andersson,Ektorget 449,Växjö,26448,Sverige,SE,19990107-2317,+46,08-930 901 69,1999-01-07,True
Göran,Andersson,Skogsgatan 5,Ängelholm,22460,Sverige,SE,19451124-8988,+46,08-660 444 31,1945-11-24,True
Robert,Hagen,Ødegårdskrenten 16,Siriby,4659,Norge,NO,19530618-6046,+47,34518136,1953-06-18,True
Caroline,Ström,Björkgatan 6,Sandviken,65311,Sverige,SE,19510330-6702,+46,08-716 47 77,1951-03-30,True
Sara,Eriksson,Grangatan 8,Borås,89795,Sverige,SE,19701225-9640,+46,08-130 617 69,1970-12-25,True
Ilari,Lehtinen,Uskalikonkatu 003,Riihimäki,99975,Finland,FI,19790706-029Y,+358,0227973514,1979-07-06,True
Katri,Partanen,Lepolankuja 745,Perho,96057,Finland,FI,19790323-851D,+47,(+358) 544763616,1979-03-23,True
Jonathan,Oliver,Campbell Roads 17745,Sallychester,64659,Danmark,DK,19680128-6575,+45,342.601.2452,1968-01-28,True
Frode,Edvardsen,Næssalléen 1,Vik,1563,Norge,NO,19450711-0983,+47,465 13 901,1945-07-11,True
Katarina,Svensson,Backstigen 58,Lund,96005,Sverige,SE,19660728-7290,+46,+46 (0)8 887 302 62,1966-07-28,True
Maria,Jones,Pierce Key 33323,Markshire,11954,Danmark,DK,19700409-4645,+45,734-858-4961,1970-04-09,True
Tonje,Hansen,Hanssenvollen 2,Johansen,1865,Norge,NO,19720329-7747,+47,907 88 978,1972-03-29,True
Randi,Gundersen,Hanssenmoen 46,Frodesund,5854,Norge,NO,19730710-5771,+47,94018233,1973-07-10,True
Mark,Lopez,Martinez Fork 638,Martinezview,64244,Danmark,DK,19610217-3776,+45,(657)906-1489x9487,1961-02-17,True
Bert,Olsson,Björkvägen 272,Örebro,75116,Sverige,SE,19940218-9200,+46,+46 (0)11 94 76 63,1994-02-18,True
Knut,Karlsen,Lievollen 902,Strøm,6450,Norge,NO,19500607-4377,+47,+4716924544,1950-06-07,True
Sondre,Gulbrandsen,Hagentjernet 3,Thomassen,1471,Norge,NO,19471231-5140,+47,44179130,1947-12-31,True
Allan,Karlsson,Kvarngränd 82,Karlskoga,34648,Sverige,SE,19420421-0469,+46,08-371 414 88,1942-04-21,True
Matthew,Herrera,Jeremy Manor 698,Priscillatown,28189,Danmark,DK,19450115-8052,+45,+1-722-943-9061x88210,1945-01-15,True
Harry,Hansson,Bäckgränd 916,Nyköping,78980,Sverige,SE,19890322-7996,+46,08-162 765 10,1989-03-22,True
Berit,Erlandsson,Stationsgatan 0,Landskrona,71345,Sverige,SE,19400127-3581,+46,08-954 28 88,1940-01-27,True
Sofia,Kokko,Ilvestie 17,Tammela,40730,Finland,FI,19671212-811F,+358,+358313356738,1967-12-12,True
Heidi,Kärkkäinen,Salakkatie 97,Raisio,00306,Finland,FI,19981009-815W,+358,(+358) 486972141,1998-10-09,True
Egil,Antonsen,Pederseneggen 16A,Jensen,5196,Norge,NO,19490623-5785,+47,99567566,1949-06-23,True
James,Manning,Oneill Island 4271,Knightshire,58045,Danmark,DK,19430511-5586,+45,467-421-1257,1943-05-11,True
Karl,Möller,Fabriksgatan 096,Gävle,14970,Sverige,SE,19410128-2025,+46,0041-93 80 03,1941-01-28,True
Kim,Martinez,Robert Lodge 3502,Lake Janet,55724,Danmark,DK,19460311-9418,+45,833-301-2732x879,1946-03-11,True
Kalevi,Korpi,Zaidankatu 353,Kalajoki,75031,Finland,FI,19800101-448F,+358,(+358) 111017431,1980-01-01,True
Hunter,Rowe,David Harbor 6986,North Toddborough,21490,Danmark,DK,19840211-3486,+45,001-286-446-2884x3905,1984-02-11,True
Anton,Pettersson,Storvägen 63,Skellefteå,33937,Sverige,SE,19860802-7407,+46,009-162 14 21,1986-08-02,True
Åke,Lundgren,Kvarngatan 65,Örebro,35747,Sverige,SE,19821218-2471,+46,0534-32 65 25,1982-12-18,True
Gunnar,Nilsson,Industritorget 69,Linköping,48028,Sverige,SE,19950112-4547,+46,078-640 63 10,1995-01-12,True
Vilde,Haugland,Solheimhavna 84,Bentedal,3572,Norge,NO,19590414-5208,+47,928 43 594,1959-04-14,True
Gary,Santos,Richard Island 037,Hatfieldtown,77865,Danmark,DK,19610701-1228,+45,960.358.6482x6785,1961-07-01,True
Sylvia,Sandström,Björkgränd 549,Växjö,97456,Sverige,SE,19701106-0745,+46,08-137 04 21,1970-11-06,True
Roger,Nilsson,Backgatan 03,Skövde,65956,Sverige,SE,19631012-0112,+46,0159-366 36,1963-10-12,True
Lennart,Johannesson,Björkgatan 56,Falun,83287,Sverige,SE,19540501-2332,+46,012-108 89 48,1954-05-01,True
Morten,Hauge,Edvardsentjernet 3,Ritahelle,1360,Norge,NO,19460504-1384,47,48 31 09 69,1946-05-04,True
Ingmar,Jansson,Storgränd 09,Västerås,46195,Sverige,SE,19550806-5911,+46,+46 (0)47 10 67 28,1955-08-06,True
Kristian,Eriksson,Parkvägen 074,Jönköping,94123,Sverige,SE,19630419-0628,+46,022-060 87 71,1963-04-19,True
Kerstin,Nilsson,Industristigen 593,Skövde,30120,Sverige,SE,19600519-5680,+46,+46 (0)04 10 47 48,1960-05-19,True
Else,Holm,Christensentoppen 62,Nielsen,4951,Norge,NO,19450320-5283,+47,455 19 154,1945-03-20,True
Frode,Jørgensen,Danielsenbakken 488,Gerdodden,2514,Norge,NO,19860627-5923,+47,93095371,1986-06-27,True
Synnøve,Rasmussen,Andresenåsen 2B,Rønning,2855,Norge,NO,19481025-9593,+47,497 03 251,1948-10-25,True
Åke,Dahlberg,Industrigatan 4,Skövde,64406,Sverige,SE,19401010-5428,+46,+46 (0)897 888 79,1940-10-10,False
Oliver,Kokkonen,Gyldéninkuja 27,Kajaani,26301,Finland,FI,19590609-797E,+358,0796169655,1959-06-09,True
Pia,Moberg,Ringtorget 8,Mölndal,16687,Sverige,SE,19440513-9305,+46,081-87 66 50,1944-05-13,True
Artur,Persson,Fabriksvägen 576,Trollhättan,48064,Sverige,SE,19950309-1977,+46,094-638 21 78,1995-03-09,True
Martin,Aasen,Andresengropa 7,Gundersen,8314,Norge,NO,19541228-9903,+47,31883308,1954-12-28,True
Josefin,Nilsson,Skolvägen 075,Nyköping,50480,Sverige,SE,19570823-9382,+46,0752-028 13,1957-08-23,True
Mari,Ali,Haugegata 7C,Elsesand,7392,Norge,NO,19891108-5629,+47,37 57 22 24,1989-11-08,True
Gro,Karlsen,Andresenjordet 71,Alffoss,7072,Norge,NO,19861224-2057,+47,41627987,1986-12-24,True
William,Velazquez,Briana Path 323,East Louisport,34399,Danmark,DK,19940628-4498,+45,959.841.8383,1994-06-28,True
Megan,Robles,Amy Mission 00818,East Lisa,26984,Danmark,DK,19740318-5261,+45,+1-216-899-5465,1974-03-18,True
Anna,Svensson,Storgatan 25,Falun,37281,Sverige,SE,19591110-4035,+46,0217-643 43,1959-11-10,True
Maria,Wallin,Fabriksstigen 9,Piteå,46745,Sverige,SE,19970222-0850,+46,08-97 51 98,1997-02-22,True
Ingela,Sjöberg,Bäckvägen 08,Sundsvall,45361,Sverige,SE,19480205-3465,+46,010-61 45 11,1948-02-05,True
Kerstin,Pettersson,Backstigen 408,Kalmar,79307,Sverige,SE,19500313-0754,+46,08-451 289 82,1950-03-13,True
Matthew,Francis,Smith Trail 930,Fordland,88961,Danmark,DK,19950711-0607,+45,2685224782,1995-07-11,True
Sören,Hansson,Stationsgränd 647,Alingsås,10879,Sverige,SE,19621019-5266,+46,0416-60 95 30,1962-10-19,True
Frank,Strøm,Fredriksenåsen 6,Olsen,8006,Norge,NO,19440724-9344,+47,17318901,1944-07-24,True
Karl,Lind,Furuvägen 25,Umeå,28072,Sverige,SE,19690416-2433,+46,08-039 743 15,1969-04-16,True
Per,Nguyen,Fredriksenflata 6,Næss,0949,Norge,NO,19570702-8565,+47,32335250,1957-07-02,True
Paul,Jones,Deborah Port 7799,West Angelaport,29751,Danmark,DK,19820821-3418,+45,862-463-0492x57779,1982-08-21,True
Sebastian,Johannessen,Fredriksenekra 7,Pedersen,6423,Norge,NO,19581031-5023,+47,44 94 87 36,1958-10-31,True
Marjatta,Laitinen,Ilmattarenkuja 4,Kerava,59711,Finland,FI,19620819-746J,+358,+358 64 0424195,1962-08-19,True
Siv,Lien,Tangenholtet 059,Strand,8819,Norge,NO,19940504-2564,+47,495 98 834,1994-05-04,True
Lennart,Larsson,Idrottsgatan 8,Alingsås,34056,Sverige,SE,19540426-7717,+46,0093-305 57,1954-04-26,True
Anthony,Gardner,Jasmin Pines 0090,New Debbieshire,43028,Danmark,DK,19750208-0040,+45,6755944349,1975-02-08,True
Robert,Nichols,Brandon Overpass 986,Allenshire,95229,Danmark,DK,19880819-2584,+45,470-784-4620,1988-08-19,True
Lisbeth,Sjöström,Parktorget 9,Linköping,99763,Sverige,SE,19650211-7077,+46,08-219 46 71,1965-02-11,True
Eva,Ekberg,Kyrkogränd 2,Örebro,77102,Sverige,SE,19531103-4755,+46,0054-778 96,1953-11-03,True
Kjersti,Tveit,Haugenkroken 4B,Johannessen,6375,Norge,NO,19621006-7397,+47,44255715,1962-10-06,True
Sören,Hansson,Skolvägen 30,Kalmar,54658,Sverige,SE,19730824-3304,+46,0208-538 58,1973-08-24,True
Anthony,Moore,Courtney Meadows 8046,Kristinmouth,41827,Danmark,DK,19620106-1086,+45,749-380-7672x74549,1962-01-06,True
Cecilie,Nguyen,Holmløkka 7B,Elisabethvåg,4829,Norge,NO,19740610-9551,+47,+4712847148,1974-06-10,True
Ann,Rønning,Olsenkollen 8,Solberg,9790,Norge,NO,19581223-0704,+47,+4772699269,1958-12-23,True
Jessica,Palmer,Green Plain 78381,Brianbury,14412,Danmark,DK,19660216-5034,+45,(769)290-5232x443,1966-02-16,True
Daniel,Björklund,Fabrikstorget 885,Sundsvall,46173,Sverige,SE,19860208-9445,+46,022-24 98 09,1986-02-08,True
Marius,Isaksen,Ødegårdhaugen 2,Sivertsen,2993,Norge,NO,19980218-2494,+47,26 45 50 11,1998-02-18,True
Kevin,Holland,Johnson Falls 023,North Melissamouth,56515,Danmark,DK,19450727-0344,+45,+1-595-465-2410x012,1945-07-27,True
Ingrid,Johansson,Bäckgränd 90,Linköping,45429,Sverige,SE,19881219-4702,+46,0103-60 58 97,1988-12-19,True
Erling,Ellingsen,Moeberget 5,Hansen,9927,Norge,NO,19771001-5630,+47,41678223,1977-10-01,True
Johannes,Melin,Ringtorget 1,Sundsvall,42444,Sverige,SE,19490507-7834,+46,+46 (0)826 796 81,1949-05-07,True
Annika,Johansson,Skoltorget 3,Växjö,16571,Sverige,SE,19851022-2849,+46,08-532 71 95,1985-10-22,True
Ashley,White,Hart Rest 358,Princeborough,69627,Danmark,DK,19990825-8024,+45,001-341-850-8751x738,1999-08-25,True
Aaron,Valdez,Gina Junction 92111,Lake Jeremiah,66775,Danmark,DK,19590729-7787,+45,798-319-9136x33455,1959-07-29,True
Sofia,Jönsson,Kvarnstigen 78,Borås,46193,Sverige,SE,19821129-8308,+46,0671-929 03,1982-11-29,True
Cole,Wright,Wilkinson Trail 412,Justinstad,43496,Danmark,DK,19850116-1324,+45,441-789-2139x26261,1985-01-16,True
Birgitta,Johansson,Åkervägen 1,Landskrona,45335,Sverige,SE,19550821-3484,+46,042-477 27 59,1955-08-21,True
Maija,Rantala,Ahvenkoskenpolku 73,Oulainen,26913,Finland,FI,19930117-0496,+358,(+358) 284819094,1993-01-17,True
Håkan,Andersson,Fabriksvägen 2,Mölndal,61246,Sverige,SE,19810609-0776,+46,+46 (0)464 210 66,1981-06-09,True
Matilda,Holm,Backgränd 6,Örebro,63279,Sverige,SE,19930829-4655,+46,030-58 88 51,1993-08-29,True
Rebecca,Small,Price Fork 559,Hannaton,23446,Danmark,DK,19660501-4003,+45,+1-465-334-1838,1966-05-01,True
Christer,Mattsson,Parkstigen 687,Varberg,70972,Sverige,SE,19561018-0991,+46,0571-94 64 60,1956-10-18,True
Henry,Gray,Walsh Rue 519,Jenningsstad,12402,Danmark,DK,19560822-0793,+45,387-455-0591,1956-08-22,True
Per,Jakobsson,Parkgatan 19,Sundsvall,66471,Sverige,SE,19450323-3063,+46,+46 (0)450 230 83,1945-03-23,True
Ingrid,Berg,Svendsenhagen 176,Wencheø,8756,Norge,NO,19411110-0093,+47,+4779070678,1941-11-10,True
Rolf,Iversen,Pedersenvika 9,Rønning,0704,Norge,NO,19470425-6226,+47,462 59 902,1947-04-25,True
Josefin,Hedström,Industrivägen 573,Borlänge,40929,Sverige,SE,19530107-1810,+46,08-279 401 93,1953-01-07,True
Sanna,Virtanen,Agnetanpolku 7,Turku,57259,Finland,FI,19601214-448J,+358,+358 549931731,1960-12-14,True
Anita,Nygård,Moelia 9,Pedersen,5160,Norge,NO,19540608-5374,+47,992 61 668,1954-06-08,True
Øyvind,Hagen,Gulbrandsenholtet 1,Hauge,9268,Norge,NO,19700412-5584,+47,+47 08 30 97 08,1970-04-12,True
Kristiina,Tanskanen,Adolf Lindforsin bulevardi 715,Laitila,80407,Finland,FI,19860803-373P,+358,065 806 8207,1986-08-03,True
Birgitta,Johansson,Backtorget 7,Falun,89505,Finland,SE,19990428-6258,+46,08-623 61 53,1999-04-28,True
Iréne,Persson,Skogsgatan 474,Sundsvall,76265,Sverige,SE,19880125-5945,+46,08-411 15 96,1988-01-25,True
Berit,Moe,Martinsenhavna 81,Pålstrøm,1297,Norge,NO,19740925-8613,+47,99217992,1974-09-25,True
Francis,Ward,Richardson Summit 8984,Andrewfurt,96247,Danmark,DK,19591209-5973,+45,5998068617,1959-12-09,True
Börje,Jonsson,Nygränd 57,Lidingö,86310,Sverige,SE,20000329-9522,+46,08-09 86 73,2000-03-29,True
Karen,Schroeder,Christina Drive 052,Brownborough,46052,Danmark,DK,19940310-8502,+45,(310)926-0364,1994-03-10,True
Kjetil,Olsen,Aasenløkka 51A,Solheim,9436,Norge,NO,19780722-0847,+47,48820576,1978-07-22,True
Tore,Berg,Berntsenfaret 4,Emiliehelle,2727,Norge,NO,19760102-2691,+47,92299341,1976-01-02,True
Linnea,Persson,Åkervägen 656,Karlskrona,32775,Sverige,SE,19940217-8107,+46,+46 (0)719 515 54,1994-02-17,True
Christine,Orr,Green Brooks 923,North Brandiborough,23465,Danmark,DK,19751108-3216,+45,388-691-2525x5671,1975-11-08,True
Marianne,Karlsen,Tangenjordet 9F,Kristianvær,6740,Norle,NO,19611130-9704,+47,91004567,1961-11-30,True
Anne,Isaksson,Skolvägen 1,Kalmar,84367,Sverige,SE,19490504-0571,+46,068-276 24 81,1949-05-04,True
Jennifer,Moore,Buck Underpass 8672,Lake Thomasshire,00727,Danmark,DK,19400516-6067,+47,7595605063,1940-05-16,True
Björn,Nilsson,Skolstigen 40,Östersund,33001,Sverige,SE,19920405-5604,+46,0428-87 45 53,1992-04-05,True
Ove,Lundström,Kyrkogatan 30,Skellefteå,69414,Sverige,SE,19981010-4490,+46,0049-109 71,1998-10-10,True
Kirsten,Gulbrandsen,Nilsenplassen 7,Ahmed,5114,Norge,NO,19720721-9243,+47,974 17 703,1972-07-21,True
Olof,Andersson,Skolgatan 39,Växjö,71550,Sverige,SE,19540601-3244,+46,056-28 54 21,1954-06-01,True
Ellen,Persson,Ängsvägen 167,Skövde,72524,Sverige,SE,19830226-7402,+46,08-192 81 85,1983-02-26,True
Lennart,Jonsson,Stationsgatan 980,Kristianstad,18813,Sverige,SE,19650322-3474,+46,+46 (0)70 04 83 68,1965-03-22,True
Stine,Hansen,Haugenhagen 6B,Nygård,6698,Norge,NO,19481211-3157,+47,81 10 97 39,1948-12-11,True
Taylor,Walsh,Morgan River 8465,West Jennifermouth,53707,Danmark,DK,19950125-8250,+45,461-455-4796,1995-01-25,True
Lauren,Frank,Tyler Shoal 14705,Christinamouth,46781,Danmark,DK,19831212-1556,+45,903.811.9862x3738,1983-12-12,True
Anders,Björklund,Kyrkgränd 803,Skellefteå,35916,Sverige,SE,19771005-5677,+46,0508-778 59,1977-10-05,True
Holger,Nilsson,Ängsgatan 2,Kalmar,59109,Sverige,SE,19541101-8816,+46,+46 (0)8 375 487 16,1954-11-01,True
Erland,Nilsson,Backtorget 214,Borlänge,14862,Sverige,SE,19510701-9241,+46,041-10 71 49,1951-07-01,True
Ingeborg,Aasen,Bergeggen 5E,Fredriksen,2333,Norge,NO,19611020-3114,+358,+4738397071,1961-10-20,True
Jason,Perez,Rivera Wells 868,Tylerton,83144,Danmark,DK,19470814-7713,+45,+1-440-446-8069x477,1947-08-14,True
David,Mann,Lauren Forges 4730,Destinyside,27875,Danmark,DK,19690121-9267,+45,7836945200,1969-01-21,True
Lars,Lindström,Ekgatan 1,Växjö,42261,Sverige,SE,19770924-0036,+46,+46 (0)42 38 73 79,1977-09-24,True
Kåre,Rønning,Moenberget 6,Mariahavn,2579,Norge,NO,19930409-2016,+47,96430522,1993-04-09,True
Hans,Lundgren,Ringtorget 7,Uppsala,84397,Sverige,SE,19681102-3337,+46,+46 (0)04 77 96 15,1968-11-02,True
Robin,Arvidsson,Villagatan 6,Jönköping,93091,Sverige,SE,19420210-4794,+46,050-28 04 42,1942-02-10,True
Harry,Näslund,Bäckvägen 30,Luleå,74785,Sverige,SE,19770118-3090,+46,0559-80 89 15,1977-01-18,True
